FIRE_YEAR,STATE,FIRE_SIZE,DISCOVERY_DOY
1992,GA,28.34,184
1992,NC,22.94,289
1992,NM,7.32,274
1992,AZ,32.36,152
1992,NM,61.67,175
1992,NC,1.38,162
1992,CO,55.48,179
1992,SC,45.05,155
1992,MS,30.6,175
1992,CA,192.71,266
1992,ID,0.73,204
1992,AL,10118.64,191
1992,TX,9.77,249
1992,GA,14.97,117
1992,MS,18.72,177
1992,NV,41.85,165
1992,FL,91.32,280
1992,ID,14.77,102
1992,MS,10.34,173
1992,AL,26.63,110
1992,AL,36.12,139
1992,NC,1.95,107
1992,WA,9.09,203
1992,NV,48.12,199
1992,SC,1474.35,249
1992,TN,3.02,125
1992,LA,4.12,228
1992,AL,115.96,176
1992,TX,247.32,299
1992,AL,171.82,135
1992,NM,3.88,269
1992,NC,12.39,263
1992,ID,78.56,255
1992,ID,96.25,108
1992,FL,10.2,110
1992,OR,6.32,131
1992,VA,18.73,178
1992,MS,1.38,291
1992,MS,67.43,195
1992,AZ,21.21,212
1992,UT,20.35,224
1992,WA,12.37,203
1992,TN,741.31,277
1992,FL,1.61,143
1992,WA,886.08,272
1992,CA,1569.18,116
1992,TX,1.53,115
1992,MT,15.39,189
1992,FL,7.98,139
1992,NV,6.3,258
1992,ID,1.55,267
1992,CA,5.0,139
1992,NV,17.94,154
1992,SC,3.69,182
1992,CA,849.09,204
1992,UT,11.96,234
1992,MS,0.59,236
1992,AL,62.01,259
1992,MS,14.92,277
1992,UT,72.38,258
1992,FL,142.26,248
1992,TN,39.83,212
1992,MS,13.91,128
1992,ID,25.65,187
1992,OR,1.53,235
1992,TX,211.84,193
1992,NM,11.99,145
1992,VA,28.7,135
1992,LA,71.5,177
1992,CO,11.94,163
1992,OR,68.62,242
1992,NC,209.97,254
1992,UT,6.26,163
1992,TN,10.62,131
1992,TN,24.99,178
1992,OR,194.52,144
1992,TN,225.58,212
1992,AL,14.02,183
1992,AZ,4.58,149
1992,NV,20.02,263
1992,GA,20.29,151
1992,ID,36.22,186
1992,MS,430.9,299
1992,NV,18.88,136
1992,CO,48.86,163
1992,CO,11.29,230
1992,AZ,119.37,125
1992,MS,132.91,161
1992,NM,164.95,186
1992,SC,47.05,115
1992,LA,3.1,102
1992,ID,12.01,149
1992,SC,25.47,178
1992,CO,184.67,113
1992,FL,11.83,106
1992,AZ,16.17,203
1992,MT,49.31,175
1992,CA,640.77,131
1992,CO,73.45,267
1992,UT,775.98,185
1992,ID,133.15,223
1992,CO,179.15,123
1992,NM,3.43,122
1992,LA,3.12,199
1992,FL,287.36,179
1992,ID,4.62,135
1992,CA,32.23,240
1992,NC,262.46,215
1992,ID,5.18,191
1992,OR,0.79,191
1992,NM,0.94,114
1992,CO,338.33,203
1992,CA,25.14,189
1992,NV,365.05,148
1992,CA,1474.11,202
1992,NM,28.54,185
1992,OR,141.96,229
1992,AZ,37.3,154
1992,MT,1.5,148
1992,CA,1.8,284
1992,OR,2.85,130
1992,OR,16.81,206
1992,SC,1.82,183
1992,LA,189.53,230
1992,FL,46.35,164
1992,AZ,13.05,235
1992,LA,104.08,162
1992,ID,35.04,161
1992,FL,7.43,180
1992,MS,0.95,265
1992,AZ,63.14,235
1992,LA,6.2,124
1992,LA,5.77,165
1992,NM,120.92,146
1992,NC,28.84,255
1992,TN,36.0,171
1992,WA,83.94,109
1992,NM,36.74,297
1992,TN,1.17,294
1992,TN,176.95,222
1992,UT,3.16,251
1992,WA,70.27,281
1992,WA,12.26,185
1992,AZ,2.06,253
1992,AZ,7.24,170
1992,UT,10.12,160
1992,CA,5.85,230
1992,UT,18.86,148
1992,TN,1.83,169
1992,ID,154.5,208
1992,OR,23.74,280
1992,AL,3.41,204
1992,TN,89.77,110
1992,UT,8.85,265
1992,LA,11.52,261
1992,NC,199.42,105
1992,MS,5.75,197
1992,NC,96.89,251
1992,SC,27.19,235
1992,MS,202.33,161
1992,TX,50.43,270
1992,SC,469.44,122
1992,WA,16.67,176
1992,WA,183.42,265
1992,MS,121.15,236
1992,NM,497.1,104
1992,CA,87.3,191
1992,GA,97.84,129
1992,ID,0.67,247
1992,VA,52.65,196
1992,NC,211.09,260
1992,NC,341.2,124
1992,AL,13.92,134
1992,ID,178.41,132
1992,GA,8.54,260
1992,GA,110.75,108
1992,NC,10.81,173
1992,UT,54.78,283
1992,TN,2.65,206
1992,CO,131.66,139
1992,CA,1.56,281
1992,AL,12.98,148
1992,LA,65.22,175
1992,MS,22.46,177
1992,OR,3.26,263
1992,WA,32.92,127
1992,VA,0.7,230
1992,CA,2.06,138
1992,MT,576.92,286
1992,CO,10.34,132
1992,ID,525.92,163
1992,NM,23.81,217
1992,NV,44.06,192
1992,GA,35.49,214
1992,CO,86.46,196
1992,ID,287.76,215
1992,FL,80.79,164
1992,NM,0.55,109
1992,LA,111.52,116
1992,UT,113.11,233
1992,NC,1.62,109
1992,MS,65.05,102
1992,TN,13.24,287
1992,WA,287.01,251
1992,LA,2.77,286
1992,WA,53.91,151
1992,WA,437.13,147
1992,TX,1.55,156
1992,NM,3.53,166
1992,OR,8.14,154
1992,CA,152.98,225
1992,TN,103.89,162
1992,CA,2.46,290
1992,LA,1.59,159
1992,MS,0.69,125
1992,OR,11.13,170
1992,CA,774.05,193
1992,FL,37.94,167
1992,LA,1.8,131
1992,ID,25.43,241
1992,NM,7.5,177
1992,OR,21.68,236
1992,AZ,26.33,190
1992,TN,11.55,143
1992,UT,0.8,164
1992,MS,302.72,209
1992,ID,144.51,194
1992,NC,13.21,297
1992,SC,1.08,129
1992,VA,1.2,268
1992,NV,729.87,232
1992,ID,314.87,150
1992,NM,46.57,234
1992,WA,15.22,118
1992,ID,7.05,184
1992,OR,36.23,195
1992,NC,16.12,229
1992,SC,2.79,255
1992,OR,2.25,192
1992,AZ,30.45,279
1992,NM,15.18,169
1992,AZ,117.76,129
1992,AL,28.65,123
1992,WA,8.78,298
1992,TN,35.78,265
1992,OR,12.68,121
1992,TX,15.25,202
1992,NC,58.98,108
1992,UT,218.21,204
1992,FL,8.69,151
1992,ID,6.47,274
1992,VA,1730.52,213
1992,NV,69.7,299
1992,TX,285.51,248
1992,NC,42.35,299
1992,TX,76.16,271
1992,CA,14.34,212
1992,WA,149.93,205
1992,NM,1126.78,156
1992,OR,729.98,205
1992,CA,296.82,158
1992,MS,11.8,140
1992,VA,37.5,130
1992,NC,2.74,124
1992,CA,6.33,105
1992,FL,4.59,112
1992,WA,153.22,277
1992,UT,2.1,137
1992,NC,5.23,131
1992,CA,1637.82,225
1992,CA,12.05,276
1992,TX,6.31,243
1992,MT,36.22,191
1992,VA,49.34,275
1992,FL,6098.35,217
1992,WA,37.98,275
1992,AL,39.51,157
1992,CO,21.9,157
1992,OR,16.63,224
1992,ID,1046.99,156
1992,NM,63.66,196
1992,MS,23553.51,237
1992,AZ,20.81,181
1992,OR,240.66,187
1992,CO,42.4,268
1992,NV,17.76,232
1992,LA,1.14,202
1992,NC,33.89,273
1992,MS,134.74,280
1992,FL,77.27,274
1992,MS,34.31,282
1992,MT,369.63,145
1992,ID,10.16,272
1992,CA,8.61,120
1992,MT,58.34,171
1992,CA,3.48,247
1992,TX,17.55,245
1992,AL,218.51,258
1992,CO,126.23,240
1992,CO,55.9,214
1992,SC,2.58,248
1992,ID,13.38,272
1992,NV,79.07,202
1992,CO,9.63,299
1992,OR,56.19,136
1992,NM,1.67,197
1992,ID,37.51,205
1992,FL,25.54,118
1992,CA,1759.23,211
1992,VA,151.56,161
1992,TX,2.94,228
1992,FL,4.29,175
1992,SC,48.54,129
1992,CA,7.13,252
1992,TN,17.49,185
1992,AZ,381.96,213
1992,WA,55.77,104
1992,SC,114.77,234
1992,NC,62.36,129
1992,OR,20.84,116
1992,ID,4.96,165
1992,WA,47.75,141
1992,NM,85.93,201
1992,SC,4.85,282
1992,MT,9.4,236
1992,FL,652.53,237
1992,WA,244.74,289
1992,NV,54.11,227
1992,WA,13.45,124
1992,NC,3.1,239
1992,LA,32.41,194
1992,NM,191.89,161
1992,MT,1.32,277
1992,FL,3.89,229
1992,WA,11269.24,151
1992,CO,34.51,120
1992,GA,28.22,156
1992,WA,4.63,200
1992,GA,4.33,159
1992,CO,196.52,227
1992,NC,2.57,259
1992,AZ,49.09,238
1992,NM,176.06,205
1992,OR,67.83,265
1992,CO,27.67,185
1992,NC,0.53,131
1992,NM,21.76,189
1992,CO,353.63,116
1992,AZ,5.24,203
1992,OR,473.84,223
1992,FL,0.92,103
1992,AL,150.06,113
1992,NC,16.33,297
1992,TN,61.92,185
1992,MT,295.45,165
1992,ID,55.93,141
1992,FL,7.39,275
1992,TX,89.52,257
1992,NV,55.45,107
1992,NC,28.87,214
1992,OR,155.79,253
1992,MT,301.76,296
1992,CO,2.17,136
1992,ID,32.64,136
1992,VA,16.75,147
1992,NV,4.1,142
1992,AL,385.66,105
1992,TN,126.76,207
1992,FL,4905.39,216
1992,FL,57.42,170
1992,ID,164.75,203
1992,ID,1.44,140
1992,NC,104.24,189
1992,WA,0.49,148
1992,SC,92.8,274
1992,LA,9.88,103
1992,MS,0.54,107
1992,NV,85.71,150
1992,WA,17.22,106
1992,MT,8.09,221
1992,FL,19.4,279
1992,NV,604.21,292
1992,SC,4.09,202
1992,UT,1.32,104
1992,MT,137.08,185
1992,MT,2.71,297
1992,LA,15.19,233
1992,CA,233.07,146
1992,VA,477.91,149
1992,LA,0.6,166
1992,AL,343.51,198
1992,MS,20.12,120
1992,FL,15.74,298
1992,OR,78.06,243
1992,MT,161.46,103
1992,SC,8.98,181
1992,OR,23.33,142
1992,AZ,3.0,164
1992,WA,207.55,149
1992,TN,102.41,111
1992,CA,9.73,206
1992,FL,9.76,218
1992,FL,741.8,251
1992,AL,261.97,153
1992,NC,21.3,171
1992,MS,496.44,291
1992,LA,78.04,189
1992,UT,6.7,202
1992,MS,5.02,114
1992,CA,251.61,153
1992,FL,38.75,273
1992,NM,206.07,111
1992,CO,2.49,278
1992,ID,2589.76,191
1992,OR,229.09,188
1992,TN,8.05,235
1992,MT,110.06,272
1992,GA,52.25,172
1992,MT,12550.01,277
1992,MT,129.4,116
1992,LA,14.58,124
1992,SC,29.05,167
1992,CO,572.88,121
1992,NC,36.34,244
1992,WA,18.52,235
1992,LA,243.28,250
1992,TN,349.48,233
1992,AL,158.17,197
1992,VA,12.14,186
1992,ID,108.25,223
1992,NV,321.34,257
1992,LA,20.96,254
1992,NM,61.33,212
1992,LA,0.31,200
1992,GA,62.01,110
1992,AL,2.16,244
1992,OR,2378.64,135
1992,TX,698.1,165
1992,LA,122.07,275
1992,NC,63.29,248
1992,CO,52.94,242
1992,NM,0.35,230
1992,NM,6.42,266
1992,VA,59028.89,169
1992,AL,56.02,160
1992,NC,44.71,267
1992,NV,69.06,199
1992,MT,141.74,273
1992,MS,66.52,112
1992,AZ,119.71,142
1992,TX,59.4,207
1992,NV,214.27,110
1992,MS,81.97,275
1992,TN,44.85,295
1992,CA,0.33,217
1992,FL,16.98,235
1992,ID,8.01,203
1992,LA,7.47,185
1992,CO,13.54,131
1992,SC,242.83,193
1992,TN,1.04,191
1992,TN,6.61,113
1992,UT,11.8,160
1992,FL,11.06,242
1992,OR,22.64,107
1992,WA,105.6,276
1992,AZ,0.35,210
1992,WA,5.64,130
1992,CA,116.67,149
1992,NM,17.28,115
1992,ID,0.95,213
1992,CO,18.12,254
1992,ID,191.43,206
1992,NV,597.4,146
1992,NV,250.38,111
1992,UT,63.32,148
1992,AZ,3.69,121
1992,WA,7.46,275
1992,NC,14.99,289
1992,CA,147.08,147
1992,NM,35.96,163
1992,CO,39.35,218
1992,VA,75.42,143
1992,NV,98.63,207
1992,TN,0.13,291
1992,LA,4.69,207
1992,AZ,44.32,161
1992,GA,66.5,222
1992,UT,1.93,117
1992,MT,86.15,112
1992,FL,38.09,211
1992,UT,15.55,133
1992,WA,597.61,202
1992,SC,2.56,141
1992,UT,665.95,273
1992,TN,146.2,214
1992,MT,37.78,174
1992,AL,6.77,132
1992,WA,26.96,210
1992,SC,5.8,119
1992,NV,28.71,178
1992,AL,4638.94,144
1992,NV,2.68,298
1992,NM,38.62,151
1992,OR,3.77,274
1992,MS,28.32,143
1992,TX,62.21,153
1992,NC,47.46,273
1992,MT,65.88,259
1992,LA,8.15,248
1992,CO,48.15,119
1992,VA,65.82,278
1992,MT,1.52,249
1992,CA,95.43,228
1992,MT,6.17,228
1992,LA,88.5,148
1992,UT,83.7,271
1992,NV,18.68,149
1992,GA,13.2,176
1992,UT,2.72,212
1992,CO,25.47,100
1992,FL,70.61,227
1992,MS,108.3,191
1992,OR,26.42,105
1992,AL,113.17,273
1992,NC,25.37,168
1992,WA,4.86,226
1992,CA,7.1,120
1992,LA,100.94,235
1992,CA,303.46,107
1992,GA,11.24,168
1992,GA,10.11,149
1992,SC,20.43,178
1992,TN,14.24,190
1992,MT,14.71,161
1992,CA,9.17,135
1992,NV,77.43,271
1992,MT,94.98,151
1992,ID,16.75,113
1992,ID,481.67,157
1992,NM,21.12,122
1992,FL,56.13,291
1992,VA,57.82,189
1992,MT,1.48,166
1992,ID,89.7,255
1992,LA,3742.79,280
1992,UT,3122.81,244
1992,CO,7.73,136
1992,GA,317.05,216
1992,CA,43.21,297
1992,AZ,17.67,185
1992,AL,542.15,232
1992,CA,2.57,102
1992,VA,9.77,244
1992,UT,257.37,211
1992,NC,1.0,164
1992,AL,35.9,251
1992,TN,60.22,225
1992,GA,100.0,289
1992,SC,291.57,157
1992,LA,187.22,216
1992,GA,159.87,127
1992,OR,9.59,169
1992,WA,3.66,182
1992,CO,5.93,126
1992,NV,265.25,109
1992,OR,71.15,228
1992,MS,162.85,208
1992,VA,102.13,278
1992,TN,800.84,136
1992,NV,5.96,267
1992,NM,19.09,217
1992,NM,12.87,142
1992,FL,641.28,159
1992,MS,26.35,272
1992,SC,73.83,225
1992,OR,44.52,290
1992,UT,5.96,231
1992,NC,5.66,290
1992,MT,61.98,173
1992,UT,131.41,203
1992,NM,16.71,158
1992,AZ,2.37,219
1992,MT,19.81,154
1992,FL,21.74,130
1992,WA,75.47,278
1992,LA,554.35,171
1992,MS,21.52,127
1992,CO,1.98,251
1992,AL,1.74,237
1992,TX,1.1,124
1992,WA,134.73,114
1992,ID,95.86,252
1992,MS,1544.27,150
1992,AL,70.86,201
1992,NC,22.15,234
1992,WA,762.0,175
1992,ID,11.67,142
1992,AL,764.45,225
1992,ID,202.92,148
1992,NC,1.66,198
1992,NM,1.19,158
1992,LA,42.62,152
1992,MT,24.75,152
1992,MT,5.57,115
1992,GA,9.59,133
1992,VA,242.98,272
1992,ID,18.29,211
1992,MT,77.29,101
1992,NC,4.92,284
1992,UT,9.98,234
1992,MT,323.32,193
1992,ID,38.78,167
1992,MS,220.25,255
1992,WA,978.15,214
1992,VA,98.4,151
1992,VA,221.33,164
1992,CO,9.48,181
1992,CO,13.19,193
1992,SC,10.73,236
1992,OR,67.88,164
1992,VA,211.25,128
1992,CA,2.61,133
1992,CO,335.86,191
1992,LA,141.61,221
1992,OR,454.32,138
1992,MS,99.48,222
1992,NM,22.16,172
1992,VA,3.41,152
1992,NV,256.43,118
1992,NC,35.91,181
1992,LA,2.99,296
1992,MS,31.02,181
1992,TX,47.15,291
1992,GA,438.42,287
1992,MS,3.62,288
1992,UT,20.0,114
1992,WA,211.81,145
1992,FL,109.91,179
1992,NC,57.4,236
1992,FL,24.01,204
1992,FL,396.5,163
1992,OR,0.39,216
1992,CA,13.98,135
1992,TN,210.98,147
1992,NM,18.18,215
1992,AL,14.14,209
1992,AZ,451.12,256
1992,LA,654.51,150
1992,WA,416.4,103
1992,NC,65.25,199
1992,NV,96.34,111
1992,ID,45.09,168
1992,OR,6.24,257
1992,NC,20.76,268
1992,SC,356.2,177
1992,SC,30.34,269
1992,ID,20.91,133
1992,MT,2526.63,126
1992,NC,22.12,291
1992,ID,0.53,202
1992,NC,245.69,201
1992,NV,12.7,289
1992,FL,54.26,104
1992,NV,191.98,217
1992,LA,112.83,145
1992,AZ,555.69,135
1992,NV,177.47,125
1992,OR,182.12,236
1992,CA,1244.97,190
1992,FL,27.75,126
1992,AL,4.39,187
1992,GA,3.13,115
1992,MT,6.0,218
1992,VA,1358.92,230
1992,UT,43.56,183
1992,NC,5.21,223
1992,GA,1.07,287
1992,CA,20.01,272
1992,FL,95.12,258
1992,AL,49.99,245
1992,OR,8.32,138
1992,NC,2.94,128
1992,CA,2.01,249
1992,VA,65.78,198
1992,AZ,44.93,106
1992,GA,137.48,166
1992,TN,172.73,184
1992,SC,803.61,183
1992,VA,217.61,226
1992,UT,42.8,155
1992,AZ,7.29,118
1992,NV,11.3,271
1992,CO,27.74,138
1992,MS,51.67,124
1992,MS,8.76,262
1992,NM,2432.23,283
1992,MS,290.23,275
1992,MS,124.37,256
1992,WA,35.54,202
1992,AZ,185.85,290
1992,ID,19.14,120
1992,AZ,168.96,201
1992,TN,28.37,220
1992,NM,1.92,130
1992,AZ,630.67,274
1992,NM,65.26,125
1992,ID,30.54,157
1992,AL,13.56,270
1992,ID,325.65,264
1992,VA,7.37,117
1992,CA,33.6,109
1992,NM,1.79,196
1992,MT,85.78,143
1992,CA,23.87,128
1992,VA,12.52,160
1992,AL,33.26,288
1992,AZ,465.4,161
1992,TN,125.57,231
1992,LA,16.67,258
1992,WA,9.71,206
1992,CO,5.05,252
1992,NM,14.18,156
1992,CO,6770.46,179
1992,GA,7.28,137
1992,FL,3.19,264
1992,TX,14.08,212
1992,TN,23.83,204
1992,CA,17.31,112
1992,UT,43.83,144
1992,MS,1.18,248
1992,MT,209.89,213
1992,CA,0.72,299
1992,SC,168.21,209
1992,NV,85.84,201
1992,FL,6.89,123
1992,ID,2.22,187
1992,CA,248.24,116
1992,VA,13.65,137
1992,OR,58.75,256
1992,CA,36.99,263
1992,TN,1007.44,239
1992,LA,9.68,268
1992,CA,13.25,208
1992,NC,31.19,161
1992,TN,70.25,232
1992,FL,11.11,216
1992,WA,47.79,211
1992,MS,8.43,159
1992,AZ,0.47,190
1992,CA,42.07,175
1992,UT,452.74,152
1992,ID,3.67,200
1992,AL,21.63,251
1992,UT,11.06,197
1992,AZ,399.95,292
1992,AZ,203.53,281
1992,WA,691.5,240
1992,WA,5.37,160
1992,NC,501.73,238
1992,TX,59.69,107
1992,FL,3.54,146
1992,NM,2.68,127
1992,AZ,71.14,263
1992,NV,107.32,137
1992,NC,1.1,144
1992,OR,298.62,165
1992,OR,47.87,219
1992,CA,188.7,233
1992,CO,288.87,133
1992,UT,307.38,129
1992,MS,1.47,205
1992,CO,14.95,237
1992,ID,1.48,273
1992,TN,8.73,237
1992,AZ,0.41,270
1992,MS,41.21,235
1992,NM,17850.05,182
1992,MT,24.28,272
1992,MT,5.69,143
1992,VA,76.56,160
1992,AZ,46.13,233
1992,NV,5.01,298
1992,NV,21.04,289
1992,UT,17.18,144
1992,NV,177.82,166
1992,CO,184.57,124
1992,NM,71.4,136
1992,TN,102.77,217
1992,NV,93.88,279
1992,SC,3.65,194
1992,GA,10.98,169
1992,CO,3.27,187
1992,AZ,10.78,217
1992,MT,86.33,276
1992,MT,7.26,198
1992,TN,6.2,187
1992,AL,15.9,259
1992,CO,55.01,128
1992,SC,19.85,269
1992,AL,18.43,172
1992,VA,101.01,107
1992,UT,135.05,206
1992,NC,15.52,171
1992,AL,5.69,104
1992,TX,136.76,182
1992,VA,590.68,131
1992,ID,17.84,168
1992,AZ,22.6,115
1992,LA,21.06,140
1992,NV,22.86,242
1992,AZ,8.57,158
1992,NM,31.04,147
1992,AL,2.55,272
1992,MS,18.24,148
1992,WA,108.35,160
1992,LA,73.79,188
1992,NM,38.05,196
1992,MS,518.56,214
1992,TN,43.78,157
1992,AZ,21.14,114
1992,MT,2.05,128
1992,OR,128.77,228
1992,FL,3.17,252
1992,ID,12.98,199
1992,CO,8.94,211
1992,FL,0.25,141
1992,SC,7.72,155
1992,TN,11.24,154
1992,GA,48.83,149
1992,FL,1653.37,273
1992,ID,0.61,199
1992,TN,20.13,266
1992,MT,5.54,212
1992,MT,291.33,125
1992,GA,0.37,130
1992,TX,87.22,122
1992,FL,19.94,101
1992,CA,0.84,217
1992,VA,35.12,127
1992,AZ,12.97,263
1992,WA,7.07,112
1992,AL,3.35,280
1992,AZ,74.47,145
1992,UT,5.34,130
1992,AL,427.64,181
1992,WA,20.44,164
1992,CA,18.21,248
1992,AZ,1.06,157
1992,WA,6.53,161
1992,CA,3.05,100
1992,ID,238.9,117
1992,GA,41.6,131
1992,AL,462.26,230
1992,ID,109.04,202
1992,CA,7.72,216
1992,GA,17.57,210
1992,TN,790.71,153
1992,WA,3.87,164
1992,OR,48.85,155
1992,LA,66.02,243
1992,AZ,527.73,233
1992,MS,9.37,247
1992,MT,120.21,138
1992,NV,47.32,224
1992,AZ,0.59,176
1992,LA,133.19,134
1992,CA,17.84,143
1992,CA,25.21,271
1992,UT,1.56,264
1992,SC,129.2,242
1992,LA,22.8,256
1992,TX,232.24,173
1992,MT,65.66,226
1992,NC,292.28,196
1992,NC,94.44,291
1992,AZ,6.89,203
1992,WA,32.96,196
1992,OR,67.06,121
1992,FL,14.83,190
1992,AZ,2.15,293
1992,NC,3.78,135
1992,AL,0.53,116
1992,OR,353.67,171
1992,OR,19.49,137
1992,WA,1.2,220
1992,TN,13.28,215
1992,LA,492.18,257
1992,UT,11.43,238
1992,WA,223.38,224
1992,FL,127.25,192
1992,NV,173.24,213
1992,NV,1.16,257
1992,AZ,7.03,213
1992,AL,1061.76,101
1992,VA,93.9,143
1992,MT,64.39,277
1992,ID,23.5,207
1992,MT,1.06,186
1992,ID,41.41,148
1992,TX,45.64,155
1992,CO,70.72,242
1992,OR,22.74,146
1992,MS,1.53,229
1992,TX,86.77,272
1992,CO,1.89,255
1992,NM,83.55,119
1992,LA,282.44,257
1992,NM,152.78,181
1992,MT,8.79,226
1992,SC,29.15,183
1992,FL,20.97,210
1992,AZ,3.81,193
1992,TX,10.75,287
1992,MS,153.77,179
1992,FL,126.21,175
1992,AZ,80.4,223
1992,TX,194.2,141
1992,AZ,15.75,288
1992,WA,12.99,267
1992,CO,1214.81,116
1992,SC,32.24,270
1992,MT,600.02,115
1992,SC,437.94,157
1992,AZ,7.8,148
1992,TN,10.53,188
1992,CO,2.08,299
1992,UT,165.5,137
1992,UT,37.33,162
1992,MT,385.05,266
1992,TX,1.55,206
1992,NV,15.45,147
1992,OR,16.28,268
1992,AZ,3.13,200
1992,GA,71.64,252
1992,CA,192.03,183
1992,AL,526.85,142
1992,VA,5.34,174
1992,UT,11.68,148
1992,LA,88.84,277
1992,FL,31.86,142
1992,AZ,2.33,261
1992,AZ,55.11,225
1992,MS,23.31,287
1992,UT,111.48,253
1992,WA,11.46,221
1992,FL,8.44,214
1992,FL,0.48,245
1992,SC,20.03,167
1992,VA,61.51,242
1992,CA,376.88,173
1992,CO,45.31,234
1992,SC,122.87,288
1992,NM,22.82,125
1992,TX,385.14,192
1992,WA,0.1,199
1992,FL,2.75,159
1992,MS,41.14,218
1992,TN,307.26,244
1992,MS,25.24,264
1992,ID,21.42,174
1992,UT,20.42,273
1992,CO,2.44,135
1992,FL,37.13,295
1992,OR,84.39,143
1992,NM,32.64,244
1992,TN,0.24,286
1992,TX,93.18,103
1992,TX,4.79,179
1992,SC,361.72,109
1992,CO,98.91,269
1992,MT,19.36,285
1992,AZ,58.89,260
1992,UT,7.27,257
1992,VA,455.0,254
1992,SC,4.36,288
1992,MS,5.24,237
1992,SC,29.72,120
1992,TN,36.56,157
1992,GA,61.06,116
1992,CO,8.52,125
1992,TN,11.58,182
1992,NV,10.03,200
1992,CO,61.1,133
1992,FL,26.76,177
1992,UT,130.65,194
1992,MS,45.03,186
1992,NV,5.26,176
1992,TX,2.19,139
1992,TN,4.5,198
1992,CO,10.7,155
1992,MS,17.5,159
1992,WA,26.58,259
1992,NM,12.22,181
1992,TN,13.66,185
1992,NM,12.91,214
1992,GA,12.53,183
1992,WA,0.28,137
1992,MT,15.53,173
1992,CA,28.56,266
1992,NM,146.08,243
1992,TN,13.97,197
1992,LA,152.49,144
1992,NM,502.8,205
1992,AZ,22.15,263
1992,ID,2.63,248
1992,NV,33.73,140
1992,VA,25.23,266
1992,GA,260.28,218
1992,OR,14.58,249
1992,CO,69.18,187
1992,GA,0.67,205
1992,GA,41.62,177
1992,WA,23.11,194
1992,NC,245.72,229
1992,AL,925.18,128
1992,VA,20.79,145
1992,AZ,136.85,188
1992,UT,165.18,264
1992,MT,33.22,139
1992,AL,2.45,198
1992,NV,11.51,296
1992,TN,5.99,179
1992,AZ,95.46,207
1992,FL,312.36,194
1992,LA,774.13,141
1992,TX,0.6,184
1992,CA,196.76,148
1992,AZ,26.05,176
1992,WA,181.21,188
1992,OR,9.93,141
1992,OR,1.54,139
1992,NV,4.32,176
1992,NC,5.69,116
1992,CA,46.84,190
1992,CO,5.65,158
1992,OR,1.97,254
1992,CA,139.5,115
1992,AL,7.7,209
1992,TN,75.04,292
1992,SC,506.87,121
1992,OR,1.9,162
1992,AZ,12.92,196
1992,AZ,114.21,272
1992,MT,0.85,123
1992,NC,28.3,224
1992,FL,65.86,194
1992,WA,486.84,188
1992,LA,22.25,288
1992,MT,33.7,221
1992,CO,171.65,279
1992,NV,31.8,184
1992,AZ,667.83,277
1992,GA,456.93,168
